name,perturbation,level,repeat,baseline_blas,perturbed_blas,delta_blas
Image62-F15.png,remove_bline_pixels,0.7000000000000001,5,0.312608587738893,0.10016235793680528,-0.21244622980208772
Image62-F15.png,add_false_positive_bline_pixels,0.05600000000000001,5,0.312608587738893,0.34833395383469834,0.035725366095805344
Image62-F15.png,remove_bline_pixels,0.7000000000000001,6,0.312608587738893,0.09410515798676158,-0.2185034297521314
Image62-F15.png,add_false_positive_bline_pixels,0.05600000000000001,6,0.312608587738893,0.3530807892777364,0.0404722015388434
Image62-F15.png,remove_bline_pixels,0.7000000000000001,7,0.312608587738893,0.0997252404146372,-0.2128833473242558
Image62-F15.png,add_false_positive_bline_pixels,0.05600000000000001,7,0.312608587738893,0.35309630181186397,0.04048771407297097
Image62-F15.png,remove_bline_pixels,0.7000000000000001,8,0.312608587738893,0.08953834698436337,-0.22307024075452964
Image62-F15.png,add_false_positive_bline_pixels,0.05600000000000001,8,0.312608587738893,0.35072288409034497,0.03811429635145197
Image62-F15.png,remove_bline_pixels,0.7000000000000001,9,0.312608587738893,0.0936957061305535,-0.2189128816083395
Image62-F15.png,add_false_positive_bline_pixels,0.05600000000000001,9,0.312608587738893,0.3525999007197815,0.03999131298088848
Image62-F15.png,remove_bline_pixels,0.8,0,0.312608587738893,0.06594230048707382,-0.24666628725181916
Image62-F15.png,add_false_positive_bline_pixels,0.064,0,0.312608587738893,0.3588359394390668,0.04622735170017378
Image62-F15.png,remove_bline_pixels,0.8,1,0.312608587738893,0.06269514175096792,-0.2499134459879251
Image62-F15.png,add_false_positive_bline_pixels,0.064,1,0.312608587738893,0.35190183668404074,0.03929324894514774
Image62-F15.png,remove_bline_pixels,0.8,2,0.312608587738893,0.06157112526539279,-0.25103746247350023
Image62-F15.png,add_false_positive_bline_pixels,0.064,2,0.312608587738893,0.3532979647555225,0.0406893770166295
Image62-F15.png,remove_bline_pixels,0.8,3,0.312608587738893,0.06335318937701663,-0.24925539836187638
Image62-F15.png,add_false_positive_bline_pixels,0.064,3,0.312608587738893,0.35211901216182667,0.039510424422933677
Image62-F15.png,remove_bline_pixels,0.8,4,0.312608587738893,0.061677835691238525,-0.25093075204765447
Image62-F15.png,add_false_positive_bline_pixels,0.064,4,0.312608587738893,0.3544458922809629,0.04183730454206991
Image62-F15.png,remove_bline_pixels,0.8,5,0.312608587738893,0.06606719120769326,-0.24654139653119972
Image62-F15.png,add_false_positive_bline_pixels,0.064,5,0.312608587738893,0.351855299081658,0.03924671134276503
Image62-F15.png,remove_bline_pixels,0.8,6,0.312608587738893,0.06676594688508315,-0.24584264085380986
Image62-F15.png,add_false_positive_bline_pixels,0.064,6,0.312608587738893,0.3574553239017126,0.04484673616281959
Image62-F15.png,remove_bline_pixels,0.8,7,0.312608587738893,0.06981391282627702,-0.24279467491261597
Image62-F15.png,add_false_positive_bline_pixels,0.064,7,0.312608587738893,0.35560933234053116,0.04300074460163816
Image62-F15.png,remove_bline_pixels,0.8,8,0.312608587738893,0.06481828400149868,-0.2477903037373943
Image62-F15.png,add_false_positive_bline_pixels,0.064,8,0.312608587738893,0.3543062794738147,0.041697691734921716
Image62-F15.png,remove_bline_pixels,0.8,9,0.312608587738893,0.06107156238291496,-0.25153702535597805
Image62-F15.png,add_false_positive_bline_pixels,0.064,9,0.312608587738893,0.35300322660709865,0.04039463886820566
Image62-F15.png,erode_bline_regions,1,0,0.312608587738893,0.2489072061945798,-0.06370138154431321
Image62-F15.png,erode_bline_regions,2,0,0.312608587738893,0.18564605329311212,-0.12696253444578087
Image62-F15.png,erode_bline_regions,3,0,0.312608587738893,0.1258697027197976,-0.18673888501909539
Image62-F15.png,erode_bline_regions,4,0,0.312608587738893,0.0850522026992615,-0.2275563850396315
Image62-F15.png,erode_bline_regions,5,0,0.312608587738893,0.05420991926182237,-0.2583986684770706
Image62-F15.png,dilate_bline_regions,1,0,0.312608587738893,0.37347391786903444,0.06086533013014145
Image62-F15.png,dilate_bline_regions,2,0,0.312608587738893,0.4325980392156863,0.1199894514767933
Image62-F15.png,dilate_bline_regions,3,0,0.312608587738893,0.48989160881744004,0.17728302107854704
Image62-F15.png,dilate_bline_regions,4,0,0.312608587738893,0.5452674897119342,0.23265890197304118
Image62-F15.png,dilate_bline_regions,5,0,0.312608587738893,0.5993624443642488,0.2867538566253558
Image62-F71.png,remove_bline_pixels,0.0,0,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,add_false_positive_bline_pixels,0.0,0,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,remove_bline_pixels,0.0,1,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,add_false_positive_bline_pixels,0.0,1,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,remove_bline_pixels,0.0,2,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,add_false_positive_bline_pixels,0.0,2,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,remove_bline_pixels,0.0,3,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,add_false_positive_bline_pixels,0.0,3,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,remove_bline_pixels,0.0,4,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,add_false_positive_bline_pixels,0.0,4,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,remove_bline_pixels,0.0,5,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,add_false_positive_bline_pixels,0.0,5,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,remove_bline_pixels,0.0,6,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,add_false_positive_bline_pixels,0.0,6,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,remove_bline_pixels,0.0,7,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,add_false_positive_bline_pixels,0.0,7,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,remove_bline_pixels,0.0,8,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,add_false_positive_bline_pixels,0.0,8,0.5743962219033956,0.5743962219033956,0.0
Image62-F71.png,remove_bline_pixels,0.0,9,0.5743962219033956,0.5743962219033956,0.0
